time,logger,level,message,exception
2012-05-08 17:27:27.5634,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3220176896
  PollingInterval     = 00:02:00",
2012-05-08 17:27:27.6214,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-05-08 17:27:30.6862,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-05-08 17:27:31.0422,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-05-08 17:27:31.0422,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-05-08 17:48:48.7042,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-05-08 17:48:48.7042,Raven.Database.Server.HttpServer,Debug,Request #   1: GET     -    50 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-05-08 17:49:57.9258,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-05-08 17:49:57.9258,Raven.Database.Server.HttpServer,Debug,Request #   2: GET     -    10 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-05-08 17:59:34.0065,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-05-08 17:59:34.0065,Raven.Database.Server.HttpServer,Debug,Request #   3: GET     -    26 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-05-08 17:59:36.3200,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Temp%2fGames:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fGames : AbstractViewGenerator
{
	public Index_Temp_2fGames()
	{
		this.ViewText = @""from doc in docs.Games
select new {  }
"";
		this.ForEntityNames.Add(""Games"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Games""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fGames : AbstractViewGenerator
{
	public Index_Temp_2fGames()
	{
		this.ViewText = @""from doc in docs.Games
select new {  }
"";
		this.ForEntityNames.Add(""Games"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Games""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-05-08 17:59:37.2074,Raven.Database.Indexing.IndexStorage,Info,Creating index Temp/Games with encoded name Temp/Games,
2012-05-08 17:59:37.4425,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Temp/Games,
2012-05-08 17:59:37.4795,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 1 because: PUT INDEX Temp/Games,
2012-05-08 17:59:37.5285,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2012-05-08 17:59:37.5285,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2012-05-08 17:59:37.6035,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/Games for all documents,
2012-05-08 17:59:37.6965,Raven.Database.Server.HttpServer,Debug,"Request #   4: GET     - 2,694 ms - <default>  - 200 - /indexes/dynamic/Games?query=&start=0&pageSize=128&aggregation=None",
2012-05-08 17:59:37.6995,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 2,571 ms
	Index: Temp/Games
	Results: 0 returned out of 0 total.
",
2012-05-08 18:27:30.8203,Raven.Database.Indexing.IndexStorage,Info,Deleting index Temp/Games,
2012-05-08 18:27:30.8753,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 2 because: DELETE INDEX Temp/Games,
2012-05-08 18:27:30.8753,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2012-05-08 18:27:30.8753,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: IndexingExecuter, will wait for additional work",
